Symbol,Entry Time,Exit Time,Exit Reason,Underlying Entry Price,Underlying Exit Price,Call Strike,Put Strike,Call Entry Premium,Put Entry Premium,Total Premium Collected,Call Exit Premium,Put Exit Premium,Entry Slippage,Exit Slippage,Total Slippage Paid,Fees Paid,Call SL Hit,Put SL Hit,Trade Duration (hours),Net PnL
BTCUSDT,2025-12-01 22:00:00,2025-12-08 22:00:00,Expiry,86529.0,90789.0,95200.0,77900.0,468.69677547376523,334.70445131514316,803.4012267889084,839.1687964925186,0.0,64.27209814311267,67.13350371940149,131.40560186251417,105.91409999999999,True,False,168.0,-273.0872715661244
BTCUSDT,2025-12-08 23:00:00,2025-12-15 23:00:00,Expiry,90600.5,86389.5,99700.0,81500.0,488.36042679135426,343.264511393425,831.6249381847792,714.9969348464656,0.0,66.52999505478235,57.19975478771725,123.72974984249959,108.05715,True,False,168.0,-115.15889650418602
BTCUSDT,2025-12-16 00:00:00,2025-12-23 00:00:00,Expiry,85807.5,88732.5,94400.0,77200.0,465.5134976749505,326.3656853164093,791.8791829913598,622.7667647788203,0.0,63.350334639308784,49.82134118230562,113.1716758216144,104.26695,True,False,168.0,-48.32620760907493
BTCUSDT,2025-12-23 01:00:00,2025-12-30 01:00:00,Expiry,88471.5,87283.0,97300.0,79600.0,483.5770360815677,336.8511227738709,820.4281588554386,0.0,463.5576940747633,65.63425270843508,37.084615525981064,102.71886823441615,105.31965,False,True,168.0,148.83194654625922
BTCUSDT,2025-12-30 02:00:00,2026-01-06 02:00:00,Expiry,87073.0,93587.0,95800.0,78400.0,471.4697966826352,337.9449529890553,809.4147496716905,682.435682741303,0.0,64.75317997373524,54.59485461930424,119.34803459303949,106.96589999999999,True,False,168.0,-99.33486766265192
BTCUSDT,2026-01-06 03:00:00,2026-01-13 03:00:00,Expiry,93725.5,91380.5,103100.0,84400.0,509.7442192776525,364.8902246662783,874.6344439439308,0.0,558.3616961170228,69.97075551551447,44.668935689361824,114.6396912048763,111.114,False,True,168.0,90.51905662203174
BTCUSDT,2026-01-13 04:00:00,2026-01-20 04:00:00,Expiry,91485.5,92019.5,100600.0,82300.0,501.7924301525909,347.04192946367584,848.8343596162667,747.0898424251645,0.0,67.90674876930134,59.76718739401316,127.67393616331451,110.51714999999999,True,False,168.0,-136.44656897221228
BTCUSDT,2026-01-20 05:00:00,2026-01-27 05:00:00,Expiry,91590.5,88424.5,100700.0,82400.0,504.1971336674651,348.0447719872718,852.2419056547369,0.0,458.9552751613428,68.17935245237895,36.71642201290742,104.89577446528637,108.52229999999999,False,True,168.0,179.86855602810778
BTCUSDT,2026-01-27 06:00:00,2026-02-03 06:00:00,Expiry,88293.5,78557.5,97100.0,79500.0,483.10330313740997,342.8006233439064,825.9039264813164,0.0,488.26610196535876,66.0723141185053,39.0612881572287,105.133602275734,102.00975,False,True,168.0,130.4944722402236
BTCUSDT,2026-02-03 07:00:00,2026-02-10 07:00:00,Expiry,78716.0,68876.5,86600.0,70800.0,426.85183016448536,297.2303157896613,724.0821459541467,0.0,447.2504473775043,57.92657167633173,35.780035790200344,93.70660746653208,91.04249999999999,False,True,168.0,92.08259111011029
BTCUSDT,2026-02-10 08:00:00,2026-02-17 08:00:00,Expiry,69092.0,68140.0,76000.0,62200.0,376.07953766466744,267.04758267157376,643.1271203362412,0.0,377.5699642367799,51.450169626899296,30.205597138942395,81.65576676584169,82.15979999999999,False,True,168.0,101.74158933361961
BTCUSDT,2026-02-17 09:00:00,2026-02-24 09:00:00,Expiry,68087.5,63207.0,74900.0,61300.0,370.03349526168313,263.64118339822016,633.6746786599033,0.0,389.92314018472825,50.69397429279226,31.19385121477826,81.88782550757053,79.86855,False,True,168.0,81.99516296760453
BTCUSDT,2026-02-24 10:00:00,2026-03-03 10:00:00,Expiry,63250.0,66810.0,69600.0,56900.0,341.2298346257212,239.9926443300019,581.2224789557231,469.26812855005664,0.0,46.497798316457846,37.54145028400453,84.03924860046237,77.2638,True,False,168.0,-49.34869819479594
BTCUSDT,2026-03-03 11:00:00,2026-03-10 11:00:00,Expiry,67000.5,70583.0,73700.0,60300.0,364.6231469258237,257.07408090047375,621.6972278262974,522.042757066898,0.0,49.7357782261038,41.76342056535184,91.49919879145564,81.81644999999999,True,False,168.0,-73.66117803205621
BTCUSDT,2026-03-10 12:00:00,2026-03-17 12:00:00,Expiry,70486.5,73714.5,77500.0,63400.0,387.6683555858581,266.3631445002311,654.0315000860892,521.3901051191751,0.0,52.32252000688713,41.71120840953401,94.03372841642114,85.83059999999999,True,False,168.0,-47.22293344950698
BTCUSDT,2026-03-17 13:00:00,2026-03-18 14:00:00,Both SL Hit,73571.5,71123.0,80900.0,66200.0,403.68493154433963,280.76554816565294,684.4504797099926,545.3965623784043,494.38125480575036,54.7560383767994,83.18222537473237,137.93826375153176,87.87089999999999,True,True,25.0,-581.1365012256938
BTCUSDT,2026-03-18 15:00:00,2026-03-25 15:00:00,Expiry,71449.5,70803.5,78600.0,64300.0,388.1156898670324,273.697041309827,661.8127311768594,0.0,361.2215923877775,52.945018494148755,28.8977273910222,81.84274588517096,85.1595,False,True,168.0,133.58889290391105
BTCUSDT,2026-03-25 16:00:00,2026-04-01 16:00:00,Expiry,71305.5,68783.5,78400.0,64200.0,392.2309648117407,276.4114736518259,668.6424384635666,0.0,380.49461050598075,53.49139507708533,30.43956884047846,83.93096391756379,84.41475,False,True,168.0,119.80211404002193
BTCUSDT,2026-04-01 17:00:00,2026-04-08 17:00:00,Expiry,68239.5,71849.0,75100.0,61400.0,367.03398498419483,260.17218987148226,627.2061748556771,0.0,394.04007706429184,50.17649398845417,31.523206165143346,81.69970015359752,82.54499999999999,False,True,168.0,68.92139763778775
BTCUSDT,2026-04-08 18:00:00,2026-04-15 18:00:00,Expiry,71064.5,74358.0,78200.0,64000.0,383.2766540676075,277.3659374001081,660.6425914677156,504.23104078350843,0.0,52.851407317417255,40.338483262680676,93.18989058009794,86.94045,True,False,168.0,-23.718789895890712
